@relation training6

@attribute GNoAffS numeric
@attribute GVL numeric
@attribute GFTime numeric

@data
0.100942,0.816683,0.632587
0.337904,0.560136,0.093116
0.099933,0,0.693325
0.002271,0.984966,0.998756
0.41361,0.64743,0.090365
0.381814,0.617847,0.089671
0.003365,0.984481,0.997964
0.978382,0.087779,0.225433
0.968203,0.308438,0.227678
0.511945,0.729874,0.147571
0.290461,0,0.152171
0.598839,0.547527,0.341925
0.547779,0,0.322115
0.622224,0.632396,0.328994
0.516487,0.549467,0.339449
0.075202,0.776916,1
0.090427,0.694471,0.712409
1,0.013094,0.221758
0,1,0
0.003197,0.272066,0.949552
0.443136,0.451018,0.333847
0.928878,0.845754,0.003334
0.900884,0.440208,1
0.56697,0.684575,0.027417
0.882936,0.779896,0.552238
0.357621,0.944541,0.006452
0.698098,0.979203,0.231511
0.313689,0.909879,0.010035
0.992231,0.720971,0.005822
0.461023,0.92721,0.095304
1,0.667244,0.195767
0.469729,0.433276,0
0.907983,0.237435,0.550696
0.691937,0.596187,0.230482
0.080632,0.87175,0.063592
0.90075,0.70364,0.543779
0.278328,0.946274,0.136372
0.341548,0.941075,0.009189
0.51393,0.856153,0.096598
0.979105,0.717504,0.004097
0.097911,0.887348,0.112703
0.090812,0.998267,0.063509
0.959952,0.889081,0.002455
0.658184,0.332756,0.189033
0.429145,0,0.00146
0.658586,1,0.184489
0,0.982669,0.210297
0.991428,0.885615,0.015956
0.799223,0.854419,0.552205
0.526922,0.87695,0.189945
0.312885,0.956672,0.02138
0.080454,0.985976,0.927291
0.459199,0.444444,0.258497
0.997934,0.69795,0.056759
0.249627,0.975189,0.260147
0.269827,0.005394,0.268947
0,0.005394,1
0.333754,0.005394,0.114179
0.687708,0.750809,0.098339
0.997934,0.005394,0.04455
0.459199,0.006472,0.253547
0.144267,1,0.808382
0.292666,0.005394,0.244198
0.17933,0.005394,0.353426
0.991105,0.676375,0.064129
0.400723,0.843581,0.274227
0.178469,0,0.779122
0.174509,0.99137,0.393356
0.154654,0.988134,0.301177
1,0.504854,0.065559
0.700333,0.750809,0
0.278779,0.943905,0.259597
0.997934,0.676375,0.058849
0.176231,0.733549,0.378946
0.258407,0.578209,0.228798
0.151957,0.966559,0.622154
0.246987,0.988134,0.228578
